Date,Open,High,Low,Close,Volume,log_returns,Search_Volume,check_ratio,Normalized_Searches,log_searches,temp_date,Normalized_Searches_delayed,norm_search_MA_upper_band,norm_search_MA_lower_band,strategy,coin,qty,balance,coins_value,portfolio_value
2022-10-17,7.164,7.371,7.062,7.325,28582327.41,0.02222467070466575,1925.829268292683,41.86585365853659,5.2524299973841995,0.36030433527408706,2022-10-17,3.6633809977919247,8.686132818137223,4.23222228114914,0,Chainlink,0.0,46532.03371467504,56445.16875248598,102977.20246716103
2022-10-17,0.3701,0.3756,0.3658,0.3721,475683807.0,0.005389395960466553,9436.813278008298,294.9004149377593,4.347145023606332,0.08299324944960773,2022-10-17,4.4604740668568645,5.095076894392672,3.6024505754280254,0,Cardano,23738.308882875186,46579.51033244079,56492.64537025173,103072.15570269251
2022-10-17,51.38,52.14,51.01,51.8,1644214.168,0.007946548261299013,2780.7792207792204,92.69264069264068,0.9859284046891356,-0.5660743183109234,2022-10-17,1.7365541557083888,2.1061472942582693,1.0325409982747917,0,Litecoin,29.006526468455405,46591.40300829286,56504.5380461038,103095.94105439665
2022-10-18,0.3721,0.3741,0.3565,0.3621,809777089.0,-0.027242218580981383,10911.315352697096,294.90041493775936,5.181900461344213,0.17565256019678516,2022-10-18,5.395997641731322,5.055451357025105,3.623323443222728,0,Cardano,23738.308882875186,46354.0199194641,56267.15495727505,102621.17487673915
2022-10-18,0.05994,0.06118,0.05849,0.05973,3043480735.0,-0.0035096551443025135,7885.3432835820895,876.1492537313433,0.35382937009865933,-0.077271855249591,2022-10-18,0.45480225988700573,0.4647998724080963,0.31334793063377464,0,Dogecoin,462470.5175045091,46256.90111078815,56170.0361485991,102426.93725938725
2022-10-18,6.249,6.296,6.063,6.153,20837723.3,-0.01564169598995697,3274.1049562682215,69.66180758017492,8.374694273950718,0.0,2022-10-18,7.7824039588411775,9.618082729864279,6.742351353825741,0,Polkadot,234.49957790075982,46234.15465173178,56147.289689542726,102381.4443412745
2022-10-18,7.325,7.368,6.956,7.123,27952468.25,-0.02796416990691426,2177.0243902439024,41.86585365853659,6.332715972095325,0.18703838149377397,2022-10-18,5.2524299973841995,8.152449632788334,4.20473990266342,0,Chainlink,0.0,46234.15465173178,56147.289689542726,102381.4443412745
2022-10-18,19540.7,19706.4,19081.0,19320.9,634343.154,-0.011306940836502589,287808.4895104895,12513.412587412588,6.4291505729143,0.2825262528570441,2022-10-18,6.120767016156337,7.2706432363106925,4.361360824939795,0,Bitcoin,0.13866932911778573,46203.6890001246,56116.82403793555,102320.51303806015
2022-10-18,1330.62,1342.0,1285.11,1309.93,6506270.391,-0.015671298355005605,54565.913043478264,3897.5652173913045,8.271433121026927,-0.013969230595237319,2022-10-18,8.387789489985693,10.046745280638333,7.419125392203537,0,Ethereum,9.25180641520257,46012.26912539406,55925.40416320501,101937.67328859906
2022-10-18,51.8,52.18,50.7,51.84,2155017.013,0.0007719027785819664,2966.164502164502,92.6926406926407,1.3612412801987626,0.32256852840659594,2022-10-18,0.9859284046891356,2.0005647202347463,0.9669817693432543,0,Litecoin,29.006526468455405,46013.42938645279,55926.56442426374,101939.99381071654
2022-10-19,51.83,51.99,50.69,50.89,1737136.349,-0.018495611443277993,2966.164502164502,92.6926406926407,1.3612412801987626,0.0,2022-10-19,1.3612412801987626,1.985316923214597,0.951029356352959,0,Litecoin,29.006526468455405,45985.87318630776,55899.00822411871,101884.88141042647
2022-10-19,7.122,7.132,6.7,6.768,25152385.01,-0.05112336269229461,1925.829268292683,41.86585365853659,5.189670072435369,-0.19905908235798336,2022-10-19,6.332715972095325,7.906363464075638,4.219664216058971,0,Chainlink,0.0,45985.87318630776,55899.00822411871,101884.88141042647
